CB,NA,FT,FR,SDT,LOC,PRO,EST,EST2,EST3,EST4,EST5,EST6,SDR,LON,LAT,BN,CS,N,NRE,MME,MME2,PTX,PIM,TA,MMA,MMA2,POL,ACU,E,CT,HA,AAL,USU,ETI,CON,SER_SIS1
181,859,17755.000,18765.000,AZZ80,MACHAGAI,CC,MACHAGAY CENTRAL,,,,,3534,AZZ81,600313,265516,28.000,2,480,,,,22.0,-87.0,906,,"P 0,6M",V,150.0,0.0,76,56,1.0,TELECOM ARGENTINA S.A.,3526CNC 98,C,MXD
181,860,18765.000,17755.000,AZZ81,MACHAGAI,CC,MACHAGAY RPT,,,,,3534,AZZ80,600216,265645,28.000,2,480,,,,22.0,-87.0,906,,"P 0,6M",V,330.0,0.0,75,35,1.0,TELECOM ARGENTINA S.A.,3526CNC 98,C,MXD
181,861,18497.500,19507.500,AZZ546,ROSARIO,SF,TIROSUIZO-RO007,,,,,2000,AZZ547,603910,325940,28.000,2,480,,,,18.5,-85.0,0,ANDREW VHP6 180,,V,15.0,0.0,10,48,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,863,18442.500,19452.500,AZZ543,ROSARIO,SF,FRANCIA-RO005,,,,,2000,AZZ544,604012,325700,28.000,2,480,,,,18.0,-88.0,0,ANDREW VHP2 180,,V,84.0,0.0,20,48,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,865,19507.500,18497.500,AZZ537,ROSARIO,SF,RIO PARANA RO006,,,,,2000,AZZ543,604253,325844,28.000,2,480,,,,18.0,-88.0,0,ANDREW VHP6 180,,V,52.0,0.0,20,67,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,867,18525.000,19535.000,AZZ543,ROSARIO,SF,FRANCIA RO005,,,,,2000,AZZ545,604012,325700,28.000,2,480,,,,18.5,-85.0,0,ANDREW VHP6 180,,V,340.0,0.0,20,48,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,869,18442.500,19452.500,AZZ546,ROSARIO,SF,TIROSUIZO-RO007,,,,,2000,AZZ548,603910,325940,28.000,2,480,,,,18.5,-85.0,0,ANDREW VHP6 180,,V,160.0,0.0,10,48,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,862,19507.500,18497.500,AZZ547,ROSARIO,SF,TRES DE FEBRERO,,,,,2000,AZZ546,603825,325725,28.000,2,480,,,,18.5,-85.0,0,ANDREW VHP6 180,,V,195.0,0.0,10,48,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,864,19452.500,18442.500,AZZ544,ROSARIO,SF,CORDOBA RO013,,,,,2000,AZZ543,603814,325650,28.000,2,480,,,,18.0,-88.0,0,ANDREW VHP4 180,,V,264.0,0.0,10,60,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,866,18497.500,19507.500,AZZ543,ROSARIO,SF,FRANCIA RO005,,,,,2000,AZZ537,604012,325700,28.000,2,480,,,,18.0,-88.0,0,ANDREW VHP4 180,,V,232.0,0.0,20,58,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,868,19535.000,18525.000,AZZ545,ROSARIO,SF,RONDEAU RO004,,,,,2000,AZZ543,604116,325427,28.000,2,480,,,,18.5,-85.0,0,ANDREW VHP6 180,,V,160.0,0.0,20,60,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,870,19452.500,18442.500,AZZ548,ROSARIO,SF,GDOR GALVEZ RO017,,,,,2000,AZZ546,603806,330214,28.000,2,480,,,,18.5,-85.0,0,ANDREW VHP6 180,,V,340.0,0.0,10,48,0.0,NEXTEL ARGENTINA S.R.L.,11021CNC 98,A,MXD
181,871,17755.000,18765.000,AZM271,BARRIO RAWSON,SJ,RAWSON,,,,,5425,AZZ868,683201,313423,28.000,2,480,,,,18.0,-101.0,900,,"P 0,6M HP",V,333.0,0.0,630,35,0.0,TELEFONICA DE ARGENTINA S.A.,12019CNC 98,A,MXD
181,872,18765.000,17755.000,AZZ868,SAN JUAN,SJ,CCM SAN JUAN,,,,,5400,AZM271,683306,313231,28.000,2,480,,,,18.0,-101.0,900,,"P 0,6M HP",V,153.0,0.0,649,30,0.0,TELEFONICA DE ARGENTINA S.A.,12019CNC 98,A,MXD
181,1184,18737.500,17727.500,LPA560,YERBA BUENA (DPTO. T,TC,YERBA NUEVA TU035,,,,,4107,LPA559,651718,264919,28.000,2,240,,,,18.5,-79.0,900,,P 0.6M,V,22.6,0.0,427,30,1.2,C.T.I. S.A.,11276CNC 98,A,MXD
181,1183,17727.500,18737.500,LPA559,VILLA CARMELA,TC,TUCUMAN DCS TU001,,,,,4105,LPA560,651613,264659,28.000,2,240,,,,18.5,-79.0,900,,P 0.6M,V,202.6,0.0,492,35,1.2,C.T.I. S.A.,11276CNC 98,A,MXD
181,875,18332.500,19342.500,AZY591,CIUDAD DE BUENOS AIR,CF,ESPINOSA 1045,,,,,1001,AZY790,582817,343625,28.000,2,480,,,,17.0,77.0,0,NERA 2082AFCS AA,,V,82.0,0.0,22,84,0.2,SISTEMAS ELECTR.DE SEGURIDAD,13364CNC 98,A,MXD
181,877,18607.500,19617.500,AZY591,CIUDAD DE BUENOS AIR,CF,ESPINOSA 1045,,,,,1001,AZZ601,582817,343625,28.000,2,480,,,,17.0,77.0,0,NERA 2082AFCS AA,,V,31.0,0.0,22,84,0.2,SISTEMAS ELECTR.DE SEGURIDAD,13364CNC 98,A,MXD
181,876,19342.500,18332.500,AZY790,CIUDAD DE BUENOS AIR,CF,PELLEGRINI 675,,,,,1001,AZY591,582250,343605,28.000,2,480,,,,17.0,77.0,0,NERA 2082AFCS AA,,V,262.0,0.0,14,87,0.2,SISTEMAS ELECTR.DE SEGURIDAD,13364CNC 98,A,MXD
181,878,19617.500,18607.500,AZZ601,CIUDAD DE BUENOS AIR,CF,AEROPARQUE,,,,,1001,AZY591,581441,341958,28.000,2,480,,,,17.0,77.0,0,NERA 2082AFCS AA,,V,211.0,0.0,5,30,0.2,SISTEMAS ELECTR.DE SEGURIDAD,13364CNC 98,A,MXD
181,880,18765.000,17755.000,AZK20,SAN LORENZO,SF,SAN LORENZO,,,,,2200,AZL355,604358,324452,28.000,2,480,,,,19.0,-82.0,906,,"P 0,6M",V,345.1,0.0,27,18,6.5,TELECOM S.A.,12903CNC 98,A,MXD
181,879,17755.000,18765.000,AZL355,PUERTO GENERAL SAN M,SF,PTO.GRAL.SAN MARTIN,,,,,2202,AZK20,604444,324225,28.000,2,480,,,,19.0,-82.0,906,,"P 0,6M",V,165.1,0.0,25,16,6.5,TELECOM S.A.,12903CNC 98,A,MXD
181,881,18332.500,19342.500,LSQ772,NEUQUEN,NQ,NEUQUEN 3,,,,,8300,LSQ773,680512,385729,28.000,2,480,,,,18.0,-79.0,909,,"P 0,6M",V,37.6,0.0,260,30,2.1,C.T.I. S.A.,13720CNC 98,A,MXD
181,882,19342.500,18332.500,LSQ773,NEUQUEN,NQ,NEUQUEN DCS,,,,,8300,LSQ772,680343,385559,28.000,2,480,,,,18.0,-79.0,909,,"P 0,6M",V,217.7,0.0,330,56,2.1,C.T.I. S.A.,13720CNC 98,A,MXD
181,883,19562.500,18552.500,LSQ762,CORDOBA,CD,CIADEA,,,,,5000,LSQ766,641411,312820,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,35.1,0.0,472,28,1.6,C.T.I. NORTE S.A.,13716CNC 98,A,MXD
181,884,18552.500,19562.500,LSQ766,CORDOBA,CD,MOLINOS,,,,,5000,LSQ762,641303,312657,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,215.1,0.0,454,67,1.6,C.T.I. NORTE S.A.,13716CNC 98,A,MXD
181,885,19342.500,18332.500,LSQ779,MAR DEL PLATA,BA,POLIDEPORTIVO,,,,,7600,LSQ780,573457,380102,28.000,2,480,,,,18.0,-79.0,909,,"P 0,6M",V,356.4,0.0,15,42,2.1,C.T.I. S.A.,13721CNC 98,A,MXD
181,886,18332.500,19342.500,LSQ780,MAR DEL PLATA,BA,MAR DEL PLATA 16,,,,,7600,LSQ779,573506,375907,28.000,2,480,,,,18.0,-79.0,909,,"P 0,6M",V,176.4,0.0,10,12,2.1,C.T.I. S.A.,13721CNC 98,A,MXD
181,887,19342.500,18332.500,LSQ774,MENDOZA,MZ,CASA TIA,,,,,5500,LSQ775,685018,325310,28.000,2,480,,,,18.0,-79.0,909,,"P 0,6M",H,255.1,0.0,710,34,2.1,C.T.I. S.A.,13715CNC 98,A,MXD
181,888,18332.500,19342.500,LSQ775,MENDOZA,MZ,MENDOZA DCS,,,,,5500,LSQ774,685256,325345,28.000,2,480,,,,18.0,-79.0,909,,"P 0,6M",H,74.1,0.0,930,36,2.1,C.T.I. S.A.,13715CNC 98,A,MXD
181,889,19397.500,18387.500,LSQ768,CORDOBA,CD,SOBREMONTE,,,,,5000,LSQ769,641212,312158,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,79.3,0.0,437,30,1.6,C.T.I. NORTE S.A.,13717CNC 98,A,MXD
181,890,18387.500,19397.500,LSQ769,CORDOBA,CD,CORDOBA ECP,,,,,5000,LSQ768,641015,312139,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,259.3,0.0,427,45,1.6,C.T.I. NORTE S.A.,13717CNC 98,A,MXD
181,891,19562.500,18552.500,LSQ764,CORDOBA,CD,TERMINAL,,,,,5000,LSQ765,641038,312520,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,52.2,0.0,394,31,1.6,C.T.I. NORTE S.A.,13712CNC 98,A,MXD
181,892,18552.500,19562.500,LSQ765,CORDOBA,CD,LIMA,,,,,5000,LSQ764,640932,312436,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,232.2,0.0,388,27,1.6,C.T.I. NORTE S.A.,13712CNC 98,A,MXD
181,893,18332.500,19342.500,AZM956,CORDOBA,CD,CORDOBA ECP,,,,,5000,LSQ778,641015,312139,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,156.4,0.0,427,58,1.6,C.T.I. NORTE S.A.,13711CNC 98,A,MXD
181,894,19342.500,18332.500,LSQ778,CORDOBA,CD,WALL MART,,,,,5000,AZM956,640924,312319,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,336.4,0.0,422,26,1.6,C.T.I. NORTE S.A.,13711CNC 98,A,MXD
181,895,19342.500,18332.500,LSQ776,MAR DEL PLATA,BA,MAR DEL PLATA 14,,,,,7600,LSQ777,573310,375757,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,177.0,0.0,12,22,1.6,C.T.I. S.A.,13708CNC 98,A,MXD
181,896,18332.500,19342.500,LSQ777,MAR DEL PLATA,BA,INDEPENDENCIA,,,,,7600,LSQ776,573304,375939,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,357.0,0.0,15,60,1.6,C.T.I. S.A.,13708CNC 98,A,MXD
181,897,19342.500,18332.500,LSQ771,VILLA CABRERA,CD,VILLA CABRERA,,,,,5000,LSQ770,641238,312313,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,142.0,0.0,403,40,1.6,C.T.I. NORTE S.A.,13719CNC 98,A,MXD
181,898,18332.500,19342.500,LSQ770,CORDOBA,CD,PROVIDENCIA,,,,,5000,LSQ771,641156,312359,28.000,2,480,,,,18.0,-80.0,909,,"P 0,6M",V,322.0,0.0,402,25,1.6,C.T.I. NORTE S.A.,13719CNC 98,A,MXD
181,899,18670.000,18790.000,AZZ893,CIUDAD DE BUENOS AIR,CF,O'GORMAN 3060,,,,,1001,AZZ894,582542,343928,10.000,2,120,,,,14.0,-85.5,905,P 1.2M,"P 1,2M",V,47.1,0.0,10,54,2.1,TELECOM SOLUCIONES S.A.,15433CNC 98,A,MXD
181,900,18790.000,18670.000,AZZ894,CIUDAD DE BUENOS AIR,CF,AV.PASEO COLON 357,,,,,1001,AZZ893,582209,343645,10.000,2,120,,,,14.0,-85.5,905,P 1.2M,"P 1,2M",V,227.1,0.0,3,70,2.1,TELECOM SOLUCIONES S.A.,15433CNC 98,A,MXD
181,901,18497.500,19507.500,AZY49,CIUDAD DE BUENOS AIR,CF,PLAZA DE MAYO,,,,,1001,AZY48,582220,343634,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,H,332.5,0.8,18,57,0.4,C.R.M. S.A.,15695CNC 98,A,MXD
181,903,18415.000,19425.000,AZY211,CIUDAD DE BUENOS AIR,CF,BOLSA DE COMERCIO,,,,,1001,AZY48,582213,343614,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,H,295.0,3.5,10,32,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,905,18497.500,19507.500,AZY41,CIUDAD DE BUENOS AIR,CF,PALERMO(HMC),,,,,1001,AZY39,582607,343413,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,V,301.7,1.3,10,70,0.4,C.R.M. S.A.,15695CNC 98,A,MXD
181,907,18497.500,19507.500,LSQ784,LA PLATA,BA,LA PLATA III,,,,,1900,LSQ783,575723,345502,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,V,53.3,-0.6,11,97,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,909,18607.500,19617.500,AZZ302,HURLINGHAM,BA,HURLINGHAM,,,,,1686,AZY674,583848,343525,28.000,2,480,,,,20.0,-71.0,901,P 1.2M HP,,V,224.2,0.4,11,35,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,911,18415.000,19425.000,AZY683,OLIVOS,BA,SARMIENTO 2350,,,,,1636,AZY220,583015,343119,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,H,6.6,-0.1,18,54,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,913,18607.500,19617.500,AZZ277,ESCOBAR,BA,ESCOBAR,,,,,1625,AZY671,584705,342057,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,V,216.9,0.2,19,30,1.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,915,18415.000,19425.000,AZY41,CIUDAD DE BUENOS AIR,CF,PALERMO(HMC),,,,,1001,LSQ257,582607,343413,28.000,2,480,,,,21.0,-75.0,900,P 0.6M HP,,H,125.5,-2.3,10,49,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,917,18415.000,19425.000,AZY32,CIUDAD DE BUENOS AIR,CF,COLEGIALES,,,,,1001,AZY39,582654,343405,28.000,2,480,,,,17.0,-71.0,900,P 0.6M HP,,V,338.6,-5.3,18,70,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,919,18415.000,19425.000,AZY44,CIUDAD DE BUENOS AIR,CF,CLINICAS,,,,,1001,AZY62,582350,343544,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,V,212.5,-0.7,20,66,1.5,C.R.M. S.A.,15695CNC 98,A,MXD
181,902,19507.500,18497.500,AZY48,CIUDAD DE BUENOS AIR,CF,MICROCENTRO,,,,,1001,AZY49,582239,343604,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,H,152.5,-0.8,15,75,0.4,C.R.M. S.A.,15695CNC 98,A,MXD
181,904,19425.000,18415.000,AZY48,CIUDAD DE BUENOS AIR,CF,MICROCENTRO(TUCUMAN,,,,,1001,AZY211,582239,343604,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,H,115.0,-3.5,15,72,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,906,19507.500,18497.500,AZY39,CIUDAD DE BUENOS AIR,CF,BELGRANO,,,,,1001,AZY41,582704,343344,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,V,121.7,-1.3,13,106,0.4,C.R.M. S.A.,15695CNC 98,A,MXD
181,908,19507.500,18497.500,LSQ783,LA PLATA,BA,LA PLATA II,,,,,1900,LSQ784,575611,345418,28.000,2,480,,,,20.0,-71.0,900,P 0.6M HP,,V,233.3,0.6,8,77,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,910,19617.500,18607.500,AZY674,CIUDAD DE BUENOS AIR,CF,ITUZAINGO,,,,,1001,AZZ302,584144,343754,28.000,2,480,,,,20.0,-71.0,901,P 1.2M HP,,V,44.2,-0.4,22,70,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
181,912,19425.000,18415.000,AZY220,MARTINEZ,BA,MARTINEZ,,,,,1640,AZY683,583000,342932,28.000,2,480,,,,21.0,-75.0,900,P 0.6M HP,,H,186.6,0.1,23,42,0.7,C.R.M. S.A.,15695CNC 98,A,MXD
