CB,N,3,0|NA,N,4,0|FT,N,9,3|FR,N,9,3|SDT,C,7|LOC,C,20|PRO,C,2|SDR,C,7|LON,N,6,0|LAT,N,6,0|BN,N,7,3|CS,C,1|NRE,C,11|MME,C,20|MME2,C,20|PTX,N,4,1|PIM,N,6,1|TA,N,4,0|MMA,C,20|MMA2,C,20|POL,C,2|ACU,N,5,1|E,N,5,1|CT,N,4,0|HA,N,3,0|AAL,N,4,1|CON,C,1|SER_SIS1,C,5|OBS,C,40
22|1386|2319|2413|AZK410|FIRMAT|SF|AZK965|612913|332719|8|2|C-0384|SIEMENS|CTR-210|31|-87|311||P 1.5M|H|18|0|103|40|4.1|A|MXD|
22|1361|2319|2413|AZK638|VILLA ANGELA|CC|AZL674|604248|273440|8|2|C-0714|||27|-91.5|305||P 3M|H|239|0|76|0|5.7|A|MXD|
22|1362|2413|2319|AZL674|CORONEL DU GRATY|CC|AZK638|605443|274101|8|2|C-0714|||27|-91.5|305||P 3M|H|59|0|75|0|3.9|A|MXD|
22|1364|2437|2343|AYG753|BOUQUET|SF|AZK864|615322|322525|8|2|C-0714|||30|-89.5|305||P 3M|V|101|0|113|77|7.8|A|MXD|
22|1363|2343|2437|AZK864|LAS ROSAS|SF|AYG753|613439|322828|8|2|C-0714|||30|-89.5|310||P 4M|V|281|0|102|44|4.8|A|MXD|
22|1365|2377|2471|AZV962|COLONIA ALBERDI (OLE|MS|AZK518|551347|272148|4|2|C-0000|||29|-94.5|307||P 2M|H|130|0|300|24|3|A|MXD|
22|1366|2471|2377|AZK518|OBERA|MS|AZV962|550442|272834|4|2|C-0000|||29|-94.5|307||P 2M|H|310|0|350|95|5|A|MXD|
22|1368|2453|2359|AYG751|CHAPUY|SF|AZN785|614438|334753|8|2|C-0714|||31|-87|311||P 1.5M|V|155.6|0|106|18|2.2|A|MXD|
22|1367|2359|2453|AZN785|SANTA ISABEL|SF|AYG751|614133|335332|8|2|C-0714|||31|-87|311||P 1.5M|V|335.6|0|106|60|5.6|A|MXD|
22|1370|2445|2351|AZN516|FELICIA|SF|AZK405|611232|311449|8|2|C-0384|||29|-91.5|305||P 3M|H|130.1|0|58|36|5.4|A|MXD|
22|1369|2351|2445|AZK405|ESPERANZA|SF|AZN516|605610|312634|8|2|C-0384|||29|-91.5|305||P 3M|H|310.1|0|38|69|7.8|A|MXD|
22|1371|2343|2437|AZV977|VILLA DEL LAGO|CD|AZK930|642947|312230|8|2|C-0000|||29|-90|311||P 1.5M|H|127|0|741|12|2.5|A|MXD|
22|1372|2437|2343|AZK930|GENERAL PAZ|CD|AZV977|642558|312457|8|2|C-0000|||29|-90|311||P 1.5M|H|307|0|1050|15|2.5|A|MXD|
22|1377|2351|2445|AZL785|APOLINARIO SARAVIA|ST|AZL879|640111|242508|8|2|C-0000|||29|-91|310||P 4M|H|218.4|0|358|52|5|A|MXD|
22|1378|2445|2351|AZL879|LAS LAJITAS|ST|AZL785|641500|244100|8|2|C-0000|||29|-91|307||P 2M|H|38.4|0|469|60|5|A|MXD|
22|1380|2453|2359|AZL879|LAS LAJITAS|ST|AZL470|641500|244100|8|2|C-0000|||31|-91|310||P 4M|V|170.2|0|469|38|4|A|MXD|
22|1379|2359|2453|AZL470|JOAQUIN V. GONZALEZ|ST|AZL879|641030|250430|8|2|C-0000|||31|-91|310||P 4M|V|350.2|0|378|90|8|A|MXD|
22|1382|2309|2403|AZM728|SALSIPUEDES|CD|AZK33|641805|310700|4|2|C-0000|||29|-94.5|311||P 1.5M|H|54.4|0|799|50|4|A|MXD|
22|1383|2403|2309|AZK33|JESUS MARIA|CD|AZM728|640544|305925|4|2|C-0000|||29|-94.5|311||P 1.5M|H|234.4|0|550|60|5|A|MXD|
22|1385|2414|2320|AZK923|ESQUINA|CD|AZK907|634741|310442|2|2|C-0000|||30|-96|311||P 1.5M|V|23.7|-0.3|285|47|6.5|A|MXD|
22|1384|2320|2414|AZK907|ATAHONA|CD|AZK923|634220|305413|2|2|C-0000|||30|-96|310||P 4M|V|203.7|0.1|225|29|5.1|C|MXD|
22|1393|2406|2312|AZV537|BOCA DEL RIO|CD|AYG967|643011|314823|2|2|C-0000|||30|-96|301||OMNI|V|122.9|-1.6|950|10|8.7|A|MXD|
22|1392|2312|2406|AYG967|BOCA DEL RIO|CD|AZV537|642718|314958|2|2|C-0000|||30|-96|311||P 1.5M|V|302.9|1.6|800|8|5.7|A|MXD|
22|1388|2320|2414|AZV541|LA PAISANITA|CD|AYG968|642851|314212|2|2|C-0000|||30|-96|0||FLAT PANEL|V|159.6|-0.3|675|27|9.1|A|MXD|
22|1389|2414|2320|AYG968|VILLA LA SERRANITA|CD|AZV541|642758|314413|2|2|C-0000|||30|-96|311||P 1.5M|V|339.6|0.3|600|4|3.4|A|MXD|
22|1390|2308|2402|AZK805|ATOS PAMPA|CD|AZN513|643820|315821|2|2|C-0000|||30|-96|301||OMNI|V|162.2|-1.7|976|54|10.9|A|MXD|
22|1391|2402|2308|AZN513|SANTA MONICA|CD|AZK805|643623|320330|2|2|C-0000|||30|-96|311||P 1.5M|V|342.2|1.7|730|8|5.7|A|MXD|
22|1396|2311|2405|AYG757|CONCEPCION (TORRENT-|CR|AZM798|575308|282331|8|2|C-0384|||30|-91|305||P 3M|V|301.4|0|62|34|5.5|A|MXD|
22|1397|2405|2311|AZM798|SANTA ROSA (DPTO. CO|CR|AYG757|580706|281602|8|2|C-0384|||30|-91|305||P 3M|V|121.4|0|70|100|11.4|A|MXD|
22|1398|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY896|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|205.6|0|425|36|9.6|A|MXD|
22|1400|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY897|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|199.2|0|425|36|9.6|A|MXD|
22|1402|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY898|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|277.4|0|425|36|9.6|A|MXD|
22|1404|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY899|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|270|0|425|36|9.6|A|MXD|
22|1406|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY900|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|271.1|0|425|36|9.6|A|MXD|
22|1408|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY901|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|257.9|0|425|36|9.6|A|MXD|
22|1410|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY902|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|285.5|0|425|36|9.6|A|MXD|
22|1412|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY903|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|284.6|0|425|36|9.6|A|MXD|
22|1414|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY904|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|274.9|0|425|36|9.6|A|MXD|
22|1416|2419|2325|AZY907|SAN MIGUEL DE TUCUMA|TC|AZY905|651241|265126|4|2|C-0000|||31|-92|301||OMNI|V|98.7|0|425|36|9.6|A|MXD|
22|1401|2325|2419|AZY897|SAN MIGUEL DE TUCUMA|TC|AZY907|651322|265311|4|2|C-0000|||31|-92|315||YAGUI|V|19.2|0|425|36|9.6|A|MXD|
22|1399|2325|2419|AZY896|SAN MIGUEL DE TUCUMA|TC|AZY907|651332|265301|4|2|C-0000|||31|-92|315||YAGUI|V|25.6|0|418|15|3.1|A|MXD|
22|1403|2325|2419|AZY898|SAN MIGUEL DE TUCUMA|TC|AZY907|651359|265117|4|2|C-0000|||31|-92|315||YAGUI|V|97.4|0|428|15|3.1|A|MXD|
22|1405|2325|2419|AZY899|SAN MIGUEL DE TUCUMA|TC|AZY907|651329|265126|4|2|C-0000|||31|-92|315||YAGUI|V|90|0|424|15|3.1|A|MXD|
22|1407|2325|2419|AZY900|SAN MIGUEL DE TUCUMA|TC|AZY907|651342|265125|4|2|C-0000|||31|-92|315||YAGUI|V|91.1|0|422|15|3.1|A|MXD|
22|1409|2325|2419|AZY901|SAN MIGUEL DE TUCUMA|TC|AZY907|651349|265139|4|2|C-0000|||31|-92|315||YAGUI|V|77.9|0|423|15|3.1|A|MXD|
22|1411|2325|2419|AZY902|SAN MIGUEL DE TUCUMA|TC|AZY907|651402|265106|4|2|C-0000|||31|-92|315||YAGUI|V|105.5|0|432|15|3.1|A|MXD|
22|1413|2325|2419|AZY903|SAN MIGUEL DE TUCUMA|TC|AZY907|651407|265106|4|2|C-0000|||31|-92|315||YAGUI|V|104.6|0|432|15|3.1|A|MXD|
22|1415|2325|2419|AZY904|SAN MIGUEL DE TUCUMA|TC|AZY907|651532|265113|4|2|C-0000|||31|-92|315||YAGUI|V|94.9|0|425|15|3.1|A|MXD|
22|1417|2325|2419|AZY905|SAN MIGUEL DE TUCUMA|TC|AZY907|651015|265146|4|2|C-0000|||31|-92|315||YAGUI|V|278.7|0|431|15|3.1|A|MXD|
22|1424|2381|2475|AZY888|PUERTO RICO|MS|AZY889|550122|264840|4|2|C-0000|||31|-92|301||OMNI|V|75.1|0|182|72|10.2|A|MXD|
22|1426|2381|2475|AZY888|PUERTO RICO|MS|AZY890|550122|264840|4|2|C-0000|||31|-92|301||OMNI|V|73.6|0|182|72|10.2|A|MXD|
22|1430|2381|2475|AZY888|PUERTO RICO|MS|AZY892|550122|264840|4|2|C-0000|||31|-92|301||OMNI|V|68.3|0|182|72|10.2|A|MXD|
22|1432|2381|2475|AZY888|PUERTO RICO|MS|AZY893|550122|264840|4|2|C-0000|||31|-92|301||OMNI|V|72.3|0|182|72|10.2|A|MXD|
22|1434|2381|2475|AZY888|PUERTO RICO|MS|AZY894|550122|264840|4|2|C-0000|||31|-92|301||OMNI|V|76.2|0|182|72|10.2|A|MXD|
22|1436|2381|2475|AZY888|PUERTO RICO|MS|AZY895|550122|264840|4|2|C-0000|||31|-92|301||OMNI|V|76.9|0|182|72|10.2|A|MXD|
22|1425|2475|2381|AZY889|PUERTO RICO|MS|AZY888|545958|264820|4|2|C-0000|||31|-92|315||YAGUI|V|255.1|0|180|11|2.4|A|MXD|
22|1427|2475|2381|AZY890|PUERTO RICO|MS|AZY888|550006|264820|4|2|C-0000|||31|-92|315||YAGUI|V|253.6|0|185|11|2.4|A|MXD|
22|1431|2475|2381|AZY892|PUERTO RICO|MS|AZY888|550020|264818|4|2|C-0000|||31|-92|315||YAGUI|V|248.3|0|175|11|2.4|A|MXD|
22|1433|2475|2381|AZY893|PUERTO RICO|MS|AZY888|550054|264832|4|2|C-0000|||31|-92|315||YAGUI|V|252.3|0|175|11|2.4|A|MXD|
22|1435|2475|2381|AZY894|PUERTO RICO|MS|AZY888|550050|264833|4|2|C-0000|||31|-92|315||YAGUI|V|256.2|0|187|11|2.4|A|MXD|
22|1437|2475|2381|AZY895|PUERTO RICO|MS|AZY888|550058|264835|4|2|C-0000|||31|-92|315||YAGUI|V|256.9|0|170|11|2.4|A|MXD|
22|1442|2475|2381|AZY573|CORRIENTES|CR|AZY576|584747|272902|4|2|C-0000|||31|-92|301||OMNI|V|96.3|0|59|45|10.4|A|MXD|
22|1444|2475|2381|AZY573|CORRIENTES|CR|AZY577|584747|272902|4|2|C-0000|||31|-92|301||OMNI|V|39.4|0|59|45|10.4|A|MXD|
22|1452|2475|2381|AZY573|CORRIENTES|CR|AZY581|584747|272902|4|2|C-0000|||31|-92|301||OMNI|V|41.6|0|59|45|10.4|A|MXD|
22|1443|2381|2475|AZY576|CORRIENTES|CR|AZY573|584504|272918|4|2|C-0000|||31|-92|315||YAGUI|V|276.3|0|59|15|3.1|A|MXD|
22|1445|2381|2475|AZY577|CORRIENTES|CR|AZY573|584709|272821|4|2|C-0000|||31|-92|315||YAGUI|V|219.4|0|60|15|3.1|A|MXD|
22|1453|2381|2475|AZY581|CORRIENTES|CR|AZY573|584710|272825|4|2|C-0000|||31|-92|315||YAGUI|V|221.6|0|60|15|3.1|A|MXD|
22|1479|2381|2475|AZK481|LIBAROS|ER|AZL842|585429|321534|4|2|C-0714|||31|-87|302||P 1.2M|V|167.1|0|65|23|4.1|A|MXD|
22|1478|2475|2381|AZL842|BASAVILBASO|ER|AZK481|585242|322209|4|2|C-0714|||31|-87|302||P 1.2M|V|347.1|0|63|36|5.9|A|MXD|
22|1481|2469|2375|AZK966|CHOVET|SF|AZK410|613623|333601|8|2|C-0781|||31|-87|307||P 2M|V|34.5|0|103|40|6|A|MXD|
22|1480|2375|2469|AZK410|FIRMAT|SF|AZK966|612913|332719|8|2|C-0781|||31|-87|307||P 2M|V|214.5|0|103|43|7.1|A|MXD|
22|1485|2445|2351|AZK994|COLONIA LA PENCA|SF|AZK426|603116|302052|8|2|C-0384|||29|-91.5|307||P 2M|H|97.7|0|51|18|4.3|A|MXD|
22|1484|2351|2445|AZK426|GOBERNADOR CRESPO|SF|AZK994|602355|302143|8|2|C-0384|||29|-91.5|307||P 2M|H|277.7|0|54|35|7.2|A|MXD|
22|1487|2453|2359|AZN243|CAYASTACITO|SF|AZK492|603453|310649|8|2|C-0781|||29|-91.5|307||P 2M|H|242.6|0|21|17|4.5|A|MXD|
22|1486|2359|2453|AZK492|LLAMBI CAMPBELL|SF|AZN243|604443|311111|8|2|C-0781|||29|-91.5|305||P 3M|H|62.6|0|45|37|6.6|A|MXD|
22|1491|2405|2311|AYG758|CASALEGNO|SF|AZM200|610747|321549|8|2|C-0000|||28|-91|307||P 2M|H|272.7|0|37|17|5|A|MXD|
22|1490|2311|2405|AZM200|BARRANCAS|SF|AYG758|615843|321356|8|2|C-0000|||28|-91|307||P 2M|H|92.7|0|25|40|5.8|A|MXD|
22|1495|2477|2383|AZM695|CAÑADA ROSQUIN|SF|AZK402|613605|320311|8|2|C-0714|||29|-91.5|307||P 2M|V|209.5|0|70|25|5.5|A|MXD|
22|1494|2383|2477|AZK402|EL TREBOL|SF|AZM695|614156|321157|8|2|C-0714|||29|-91.5|307||P 2M|V|29.5|0|90|35|6.3|A|MXD|
22|1499|2469|2375|AYG760|MANUCHO|SF|AZK492|604844|311606|8|2|C-0000|||28|-91.5|307||P 2M|H|35|0|43|34|5.2|A|MXD|
22|1498|2375|2469|AZK492|LLAMBI CAMPBELL|SF|AYG760|604443|311111|8|2|C-0000|||28|-91.5|307||P 2M|H|215|0|45|32|6.8|A|MXD|
22|1501|2461|2367|AZK788|PUEBLO BRUGO|ER|AZK787|600537|312317|8|2|C-0384|||31|-87|303||P 1.8M|V|175.4|0|32|20|4.5|A|MXD|
22|1502|2319|2413|AZL711|PUERTO ESPERANZA|MS|AZM766|543708|260109|8|2|C-0000|||30|-91|302||P 1.2M|V|30.1|0|235|35|5.1|A|MXD|
22|1503|2413|2319|AZM766|LIBERTAD|MS|AZL711|543338|255543|8|2|C-0000|||30|-91|302||P 1.2M|V|210.1|0|255|40|4.3|A|MXD|
22|1500|2367|2461|AZK787|CERRITO|ER|AZK788|600433|313430|8|2|C-0384|||31|-87|303||P 1.8M|V|355.4|0|95|50|7.3|A|MXD|
22|1514|2335|2429|AZK392|EDUARDO CASTEX|LP|AZE409|641533|355349|7|2|C-0642|||30|-93.5|307||P 2M|H|67.9|0|181|53|7.2|A|MXD|
22|1515|2429|2335|AZE409|MONTE NIEVAS|LP|AZK392|640917|355145|7|2|C-0642|||30|-93.5|307||P 2M|H|247.9|0|172|26|5.6|A|MXD|
22|1516|2327|2421|AZE407|PASTEUR|BA|AZK5671|621430|350826|7|2|C-0340|||30|-105|307||P 2M|H|89.2|0|100|27|5.1|A|MXD|
22|1517|2421|2327|AZK571|ROBERTS|BA|AZE407|615859|350815|7|2|C-0340|||30|-105|307||P 2M|H|269.2|0|102|40|5.3|A|MXD|
22|1518|2381|2475|AZL523|DUDIGNAC|BA|AZM579|604236|353900|4|2|C-0340|||30|-110|305||P 3M|H|354.4|0|76|55|5.2|A|MXD|
22|1519|2475|2381|AZM579|DENNEHY|BA|AZL523|604448|352037|4|2|C-0340|||30|-110|305||P 3M|H|174.4|0|62|47|5.8|A|MXD|
22|1520|2405|2311|AZY409|GRUTLY|SF|AZK405|610415|311611|8|2|C-0384|||29|-91.5|305||P 3M|H|146.4|0|42|35|5.9|A|MXD|
22|1521|2311|2405|AZK405|ESPERANZA|SF|AZY409|605610|312633|8|2|C-0384|||29|-91.5|305||P 3M|H|326.4|0|38|62|7.8|A|MXD|
22|1522|2423|2329|AZK26|VILLA MARIA (DPTO. G|CD|AZZ646|631435|322434|4|2|C-0000|||31|-92|301||OMNI|V|259.6|0|200|48|13.6|A|MXD|
22|1524|2423|2329|AZK26|VILLA MARIA (DPTO. G|CD|AZZ647|631435|322434|4|2|C-0000|||31|-92|301||OMNI|V|265.7|0|200|48|13.6|A|MXD|
22|1528|2423|2329|AZK26|VILLA MARIA (DPTO. G|CD|AZZ649|631435|322434|4|2|C-0000|||31|-92|301||OMNI|V|257.2|0|200|48|13.6|A|MXD|
22|1523|2329|2423|AZZ646|VILLA MARIA (DPTO. G|CD|AZK26|631618|322450|4|2|C-0000|||31|-92|315||YAGUI SFH 7360|V|79.6|0|203|15|3.1|A|MXD|
22|1525|2329|2423|AZZ647|VILLA MARIA (DPTO. G|CD|AZK26|631624|322441|4|2|C-0000|||31|-92|315||YAGUI SFH 7360|V|85.7|0|202|15|3.1|A|MXD|
22|1529|2329|2423|AZZ649|VILLA MARIA (DPTO. G|CD|AZK26|631553|322449|4|2|C-0000|||31|-92|315||YAGUI SFH 7360|V|77.2|0|202|15|3.1|A|MXD|
22|1532|2383|2477|AZX99|ORDOÑEZ|CD|AZX93|624649|325152|8|2|C-0000|||28|-93.5|307||P 2M|H|18.6|0.1|127|79|6.5|A|MXD|
22|1533|2477|2383|AZX93|BELL VILLE|CD|AZX99|624106|323735|8|2|C-0000|||28|-93.5|307||P 2M|H|198.6|-0.1|127|18|3.3|A|MXD|
22|1535|2419|2325|AYG763|CONCEPCION|TC|AZL478|653109|274648|4|2|C-0000|||28|-94|311||P 1,5M|V|334.4|-0.1|342|30|0|A|MXD|
22|1534|2325|2419|AZL478|JUAN BAUTISTA ALBERD|TC|AYG763|653731|273504|4|2|C-0000|||28|-94|307||P 2M|V|154.4|0.1|370|50|0|A|MXD|
22|1536|2385|2479|AZE402|MORSE|BA|AZK446|605024|344543|4|2|C-0701|||27|-101|307||P 2M|H|328.3|0|80|41|6.4|A|MXD|
22|1537|2479|2385|AZK446|JUNIN|BA|AZE402|605818|343513|4|2|C-0701|||27|-101|307||P 2M|H|148.3|0|82|30|5.3|A|MXD|
22|1538|2369|2463|AZX329|SAN MARTIN DE LOS AN|NQ|AZX330|712033|400824|3.5|2|C-0000|||20|-90|317|TILTEK|TA2308|V|161.7|5|900|9|4.8|A|MXD|
22|1540|2369|2463|AZX329|SAN MARTIN DE LOS AN|NQ|AZX331|712033|400824|3.5|2|C-0000|||20|-90|317|TILTEK|TA2308|V|75.3|0.5|900|9|4.8|A|MXD|
22|1541|2463|2369|AZX331|SAN MARTIN DE LOS AN|NQ|AZX329|711312|400655|3.5|2|C-0000|||20|-90|317|TILTEK|TA2308|V|255.3|-0.5|1004|6|13|A|MXD|
22|1542|2471|2377|AZX331|SAN MARTIN DE LOS AN|NQ|AZX332|711312|400655|3.5|2|C-0000|||20|-90|317|TILTEK|TA2308|V|59.7|-1.7|1004|6|1.3|A|MXD|
22|1543|2377|2471|AZX332|SAN MARTIN DE LOS AN|NQ|AZX331|710842|400454|3.5|2|C-0000|||20|-90|317|TILTEK|TA2308|V|239.7|1.7|780|9|1.3|A|MXD|
22|1539|2463|2369|AZX330|SAN MARTIN DE LOS AN|NQ|AZX329|711840|401245|3.5|2|C-0000|||20|-90|317|TILTEK|TA2308|V|341.7|-5|1600|18|1.3|A|MXD|
22|1544|2471|2377|AZX868|CONCEPCION|TC|AZX866|653532|272104|3.5|2|C-0000|||28|-94|305||P 3M|H|20.8|0|368|34|3.1|A|MXD|
22|1545|2377|2471|AZX866|GOBERNADOR NOUGUES|TC|AZX868|652259|265138|3.5|2|C-0000|||28|-94|305||P 3M|H|200.8|0|1313|45|3.5|A|MXD|
22|1547|2383|2477|AZX866|GOBERNADOR NOUGUES|TC|AZX867|652259|265138|7|2|C-0000|||28|-91|307||P 2M|H|78.8|-2.7|1313|25|5.9|A|MXD|
22|1549|2325|2419|AZX866|GOBERNADOR NOUGUES|TC|AZX869|652259|265138|3.5|2|C-0000|||18|-84|307||P 2M|V|185.3|-2.5|1313|43|3.6|A|MXD|
22|1546|2477|2383|AZX867|TUCUMAN|TC|AZX866|651226|264946|7|2|C-0000|||28|-91|307||P 2M|H|258.8|2.7|438|46|2.1|A|MXD|
22|1548|2419|2325|AZX869|FAMAILLA|TC|AZX866|652412|270318|3.5|2|C-0000|||28|-94|307||P 2M|V|5.3|2.5|363|21|2.2|A|MXD|
22|1550|2436|2342|AZY24|ARROYITO|CD|AZY23|630140|312508|1.75|2|C-0000|||28|-97|305||P 3M|H|88.6|0|149|40|5.9|A|MXD|
22|1551|2342|2436|AZY23|LA FRANCIA|CD|AZY24|623802|312437|1.75|2|C-0000|||28|-97|305||P 3M|H|268.6|0|105|90|9.1|A|MXD|
22|1552|2320|2414|AZY23|LA FRANCIA|CD|AZY18|623802|312437|1.75|2|C-0000|||28|-97|305||P 3M|V|94|0|105|94|9.4|A|MXD|
22|1553|2414|2320|AZY18|PLAZA SAN FRANCISCO|CD|AZY23|620642|312624|1.75|2|C-0000|||28|-97|310||P 4M|V|274|0|113|46|4.2|A|MXD|
22|1660|2415|2321|AZZ215|VILA|SF|AZL246|614955|311134|4|2|C-0000|||31|-87|307||P 2M|V|98|0|100|36|4.7|A|MXD|
22|1661|2321|2415|AZL246|RAFAELA|SF|AZZ215|612945|311358|4|2|C-0000|||31|-87|305||P 3M|V|278|0|97|55|4.9|A|MXD|
22|1662|2336|2430|AZX999|VILLA MARIA (DPTO. G|CD|AZY16|631139|322554|1.75|2|C-0000|||28|-97|310||P 4M|V|29.8|0|192|110|8.8|A|MXD|
22|1663|2430|2336|AZY16|POZO DEL MOLLE (DPTO|CD|AZX999|625447|320056|1.75|2|C-0000|||28|-97|310||P 4M|V|209.8|0|147|70|5.9|A|MXD|
22|1664|2406|2312|AZY16|POZO DEL MOLLE (DPTO|CD|AZY17|625447|320056|1.75|2|C-0000|||28|-97|305||P 3M|H|49.4|0|147|72|6.1|A|MXD|
22|1665|2312|2406|AZY17|SATURNINO M. LASPIUR|CD|AZY16|623158|314416|1.75|2|C-0000|||28|-97|305||P 3M|H|229.4|0|115|87|7.1|A|MXD|
22|1666|2368|2462|AZY17|SATURNINO M. LASPIUR|CD|AZY18|623158|314416|1.75|2|C-0000|||28|-97|310||P 4M|V|50.4|0|115|118|9.1|A|MXD|
22|1667|2462|2368|AZY18|PLAZA SAN FRANCISCO|CD|AZY17|620642|312624|1.75|2|C-0000|||28|-97|310||P 4M|V|230.4|0|113|42|3.9|A|MXD|
22|1668|2427|2333|AZY13|VILLA CARLOS PAZ|CD|AZY14|642606|312539|4|2|C-0000|||28|-97|307||P 2M|H|354.1|0|1000|21|2.5|A|MXD|
22|1669|2333|2427|AZY14|LA FALDA|CD|AZY13|642828|310559|4|2|C-0000|||28|-97|307||P 2M|H|174.1|0|950|11|2.1|A|MXD|
22|1670|2364|2458|AZY288|EDUARDO CASTEX|LP|AZY287|641234|355407|1.8|2|C-0000|||31|-93|305||P 3.7M|V|54.1|0|178|47|3.5|A|MXD|EX C.T.I. S.A.
22|1671|2458|2364|AZY287|GENERAL PICO|LP|AZY288|634653|353857|1.8|2|C-0000|||31|-93|305||P 3.7M|V|234.1|0|140|57|4|A|MXD|EX C.T.I. S.A.
22|1672|2372|2466|AZY290|REALICO|LP|AZY292|641508|350151|1.8|2|C-0000|||31|-93|303||P 1.8M|V|331.1|0|164|33|2.9|A|MXD|EX C.T.I. S.A.
22|1673|2466|2372|AZY292|VILLA HUIDOBRO|CD|AZY290|642213|345122|1.8|2|C-0000|||31|-93|303||P 1.8M|V|151.1|0|179|39|3.2|A|MXD|EX C.T.I. S.A.
22|1674|2370|2464|AZV238|CURA MALAL|BA|AZY328|621414|374318|1.8|2|C-0000|||31|-91|308||P 2.4M|V|177.7|-1|1015|15|1.8|A|MXD|EX C.T.I. S.A.
22|1675|2464|2370|AZY328|TORNQUIST|BA|AZV238|621305|380603|1.8|2|C-0000|||31|-91|308||P 2.4M|V|357.7|1|300|20|1.9|A|MXD|EX C.T.I. S.A.
22|1676|2362|2456|AZV238|CURA MALAL|BA|AZY330|621414|374318|1.8|2|C-0000|||31|-91|303||P 1.8M|V|316.4|-2|1015|12|1.4|A|MXD|EX C.T.I. S.A.
22|1677|2456|2362|AZY330|PIGUE|BA|AZV238|622403|373509|1.8|2|C-0000|||31|-91|303||P 1.8M|V|136.4|2|280|20|1.8|A|MXD|EX C.T.I. S.A.
22|1678|2378|2472|AZV238|CURA MALAL|BA|AZY331|621414|374318|1.8|2|C-0000|||31|-91|305||P 3.7M|H|322.6|-0.7|1015|15|1.5|A|MXD|EX C.T.I. S.A.
22|1679|2472|2378|AZY331|CARHUE|BA|AZV238|624543|371050|1.8|2|C-0000|||31|-91|305||P 3.7M|H|142.6|0.7|110|25|2.1|A|MXD|EX C.T.I. S.A.
22|1680|2370|2464|AZY316|SAN SALVADOR|ER|AZY317|582946|313730|1.8|2|C-0000|||31|-93|303||P 1.8M|V|138.4|0|60|49|2.6|A|MXD|EX C.T.I.NORTE S.A.
22|1681|2464|2370|AZY317|UBAJAY|ER|AZY316|581906|314742|1.8|2|C-0000|||31|-93|303||P 1.8M|V|318.4|0|51|51|2.7|A|MXD|EX C.T.I.NORTE S.A.
22|1686|2327|2421|AZL701|SALAZAR|BA|AZL702|621214|361819|7|2|C-0304|||30|-93|307||P 2M|H|64|0|104|55|7|A|MXD|
22|1687|2421|2327|AZL702|MONES CAZON|BA|AZL701|620027|361340|7|2|C-0304|||30|-93|307||P 2M|H|244|0|98|50|6.6|A|MXD|
22|1688|2383|2477|AZY598|MOCTEZUMA|BA|AZK329|612938|352843|7|2|C-0642|||30|-99.5|307||P 2M|H|138.9|0|86|47|7.9|A|MXD|
22|1689|2477|2383|AZK329|CARLOS CASARES|BA|AZY598|612004|353737|7|2|C-0642|||30|-99.5|307||P 2M|H|318.9|0|82|55|7.5|A|MXD|
22|1690|2327|2421|AZK424|GENERAL PICO|LP|AZL245|634530|353847|7|2|C-0340|||36|-99|305||P 3M|V|357.3|0|142|64|6.7|A|MXD|
22|1691|2421|2327|AZL245|CEBALLOS|LP|AZK424|634643|351728|7|2|C-0340|||36|-99|305||P 3M|V|177.3|0|138|47|6.5|A|MXD|
22|1692|2383|2477|AZL71|CABILDO|BA|AZK203|615335|382910|7|2|C-0642|||28|-109|305||P 3M|H|230.9|0|150|63|6.8|A|MXD|
22|1693|2477|2383|AZK203|BAHIA BLANCA|BA|AZL71|621419|384224|7|2|C-0642|||28|-109|310||P 4M|H|50.9|0|70|98|9.9|A|MXD|
22|1694|2367|2461|AZE391|CONTRALMIRANTE CORDE|RN|AZL73|680606|384528|7|2|C-0340|||30|-95|307||P 2M|H|170.8|0|290|30|5|A|MXD|
22|1695|2461|2367|AZL73|NEUQUEN|NQ|AZE391|680351|385619|7|2|C-0340|||30|-95|307||P 2M|H|350.8|0|340|40|5.8|A|MXD|
22|1696|2367|2461|AZL999|PEHUAJO|BA|AZL702|615251|354811|7|2|C-0340|||36|-104|305||P 3M|H|193.6|0|85|80|8.7|A|MXD|
