CB,N,3,0|NA,N,4,0|FT,N,9,3|FR,N,9,3|SDT,C,7|LOC,C,20|PRO,C,2|SDR,C,7|LON,N,6,0|LAT,N,6,0|BN,N,7,3|CS,C,1|NRE,C,11|MME,C,20|MME2,C,20|PTX,N,4,1|PIM,N,6,1|TA,N,4,0|MMA,C,20|MMA2,C,20|POL,C,2|ACU,N,5,1|E,N,5,1|CT,N,4,0|HA,N,3,0|AAL,N,4,1|CON,C,1|SER_SIS1,C,5|OBS,C,40
72|1855|7554|7708|AZY327|COLONIA EL SAUCE|ER|AZM930|582631|324001|28|2|C-0623|||27.3|-103|807||P 2.4M|V|191.6|0|25|57|3.8|A|MXD|EX C.T.I. NORTE S.A.
72|1856|7708|7554|AZM930|GUALEGUAYCHU|ER|AZY327|583141|330115|28|2|C-0623|||27.3|-103|807||P 2.4M|V|11.6|0|10|57|3.8|A|MXD|EX C.T.I. NORTE S.A.
72|1857|7554|7708|AZY329|LARROQUE|ER|AZY320|590045|330201|28|2|C-0623|||27.3|-103|808||P 3M|V|17.4|0|62|76|4.7|A|MXD|EX C.T.I. NORTE S.A.
72|1858|7708|7554|AZY320|URDINARRAIN|ER|AZY329|585258|324103|28|2|C-0623|||27.3|-103|808||P 3M|V|197.4|0|65|54|3.7|A|MXD|EX C.T.I. NORTE S.A.
72|1859|7526|7680|AZK89|MAR DEL PLATA|BA|AZX712|573543|380304|25.5|2|C-0681|||30|-89|809||P 1.2M|H|290.3|0|52|60|10|A|MXD|
72|1860|7680|7526|AZX712|BARRIO BATAN|BA|AZK89|574458|380023|25.5|2|C-0681|||30|-89|809||P 1.2M|H|110.3|0|85|60|10|A|MXD|
72|1861|7526|7680|AZK203|BAHIA BLANCA|BA|AZK381|621409|384224|25.5|2|C-0901|||27|-105.5|813||P 3.7M||318.9|0|70|90|10.1|A|MXD|
72|1862|7680|7526|AZK381|CHASICO|BA|AZK203|623846|382025|25.5|2|C-0901|||27|-105.5|804||P 3M||138.9|0|124|114|11|A|MXD|
72|1863|7463|7624|AZX936|CIUDAD DE BUENOS AIR|CF|AZX935|582747|344134|12.2|2||||28|-89|812||P 1M|V|344.6|0|10|71|9|A|MXD|
72|1864|7624|7463|AZX935|CIUDAD DE BUENOS AIR|CF|AZX936|582852|343820|12.2|2||||28|-89|812||P 1M|V|164.6|0|20|85|10|A|MXD|
72|1865|7526|7680|AZM871|PASO DE LOS LIBRES|CR|AZY305|570604|294131|14|2||||26.3|-105|806||P 1.8M|V|247.4|0|52|72|4.5|A|MXD|EX C.T.I. NORTE S.A.
72|1866|7680|7526|AZY305|BONPLAND|CR|AZM871|572721|294915|14|2||||26.3|-105|806||P 1.8M|V|67.4|0|73|48|3.3|A|MXD|EX C.T.I. NORTE S.A.
72|1867|7498|7652|AZY308|COLONIA LIBERTAD|CR|AZY309|574804|300323|14|2||||26.3|-105|806||P 1.8M|V|143.7|0|77|60|3.9|A|MXD|EX C.T.I. NORTE S.A.
72|1868|7652|7498|AZY309|MONTE CASEROS|CR|AZY308|573817|301453|14|2||||26.3|-105|806||P 1.8M|V|323.7|0|45|75|4.7|A|MXD|EX C.T.I. NORTE S.A.
72|1869|7554|7708||JUAN PUJOL|CR|AZY311|575240|302325|14|2||||26.3|-105|806||P 1.8M|V|200.8|0|72|58|3.8|A|MXD|EX C.T.I. NORTE S.A.
72|1870|7708|7554|AZY311|MOCORETA|CR||575846|303717|14|2||||26.3|-105|806||P 1.8M|V|20.8|0|45|58|3.8|A|MXD|EX C.T.I. NORTE S.A.
72|1871|7498|7652|AZY312|CHAJARI|ER|AZY313|575811|304508|14|2||||26.3|-105|806||P 1.8M|V|175.5|0|47|55|3.3|A|MXD|EX C.T.I. NORTE S.A.
72|1872|7652|7498|AZY313|FEDERACION|ER|AZY312|575644|310050|14|2||||26.3|-105|806||P 1.8M|V|355.5|0|63|54|2.5|A|MXD|EX C.T.I. NORTE S.A.
72|1873|7498|7652|AZY321|GENERAL GALARZA|ER|AZM936|592313|324341|14|2||||26.3|-105|807||P 2.4M|H|326.7|0|56|84|5.2|A|MXD|EX C.T.I. NORTE S.A.
72|1874|7652|7498|AZM936|NOGOYA|ER|AZY321|593818|322421|14|2||||26.3|-105|807||P 2.4M|H|146.7|0|61|86|5.1|A|MXD|EX C.T.I. NORTE S.A.
72|1875|7554|7708|AZY322|HERNANDEZ|ER|AZN971|600628|321448|14|2||||26.3|-105|806||P 1.8M|H|321.9|0|100|58|3.8|A|MXD|EX C.T.I. NORTE S.A.
72|1876|7708|7554|AZN971|CRESPO|ER|AZY322|601904|320114|14|2||||26.3|-105|806||P 1.8M|H|141.9|0|114|57|3.8|A|MXD|EX C.T.I. NORTE S.A.
72|1877|7526|7680|AZY319|PEHUAJO|BA|AZY291|615326|354728|14|2||||26.3|-105|806||P 1.8M|H|257.6|0|85|57|3.8|A|MXD|EX C.T.I. S.A.
72|1878|7680|7526|AZY291|JUAN JOSE PASO|BA|AZY319|621757|355152|14|2||||26.3|-105|806||P 1.8M|H|77.6|0|86|57|3.8|A|MXD|EX C.T.I. S.A.
72|1880|7498|7652|AZY424|GUIÑAZU|CD|AZM202|640847|312050|28|2||||28.2|83.5|809||P 1.2M|V|215.8|0|430|16|1.5|A|MXD|
72|1881|7652|7498|AZM202|CORDOBA|CD|AZY424|641107|312336|28|2||||28.2|83.5|809||P 1.2M|V|35.8|0|420|21|2.5|A|MXD|
72|1884|7470|7624||BAHIA BLANCA|BA||621409|384224|25.5|2||||27|-105.5|813||P 3.7M|M|318.9|0|70|90|10.1|C|MXD|
72|1885|7624|7470||CHASICO|BA||623846|382025|25.5|2||||27|-105.5|657||P 3M|M|138.9|0|124|114|11|C|MXD|
72|1886|7652|7498|AZK715|ALCORTA|SF|AZK410|610729|333234|28|2||||30|-86|811||P 2.4M|V|286.3|0|85|75|6.7|A|MXD|
72|1887|7498|7652|AZK410|FIRMAT|SF|AZK715|612913|332719|28|2||||30|-86|811||P 2.4M|V|106.3|0|103|60|5.9|A|MXD|
72|1889|7652|7498|AZK21|SALTO GRANDE|SF|AZK20|610558|324014|28|2|C-0546|||31|-86.5|804||P 3M|H|104.2|0|44|72|7.9|A|MXD|
72|1888|7498|7652|AZK20|SAN LORENZO|SF|AZK21|604358|324452|28|2|C-0546|||31|-86.5|811||P 2,4M|H|284.2|0|28|49|6.1|A|MXD|
72|1890|7554|7708|AZK20|SAN LORENZO|SF|AZK21|604358|324452|28|2|C-0546|||31|-86.5|811||P 2,4M|H|284.2|0|28|49|6.1|A|MXD|
72|1891|7708|7554|AZK21|SALTO GRANDE|SF|AZK20|610558|324014|28|2|C-0546|||31|-86.5|804||P 3M|H|104.2|0|44|72|7.9|A|MXD|
72|1893|7708|7554|AZK366|CRUZ ALTA|CD|AZL620|614841|330028|28|2|C-0573|||30|-86|814||P 1.8M|H|139.5|0|77|23|6.9|A|MXD|
72|1892|7554|7708|AZL620|SAN JOSE DE LA ESQUI|SF|AZK366|614211|330650|28|2|C-0573|||30|-86|814||P 1.8M|H|319.5|0|75|25|7.4|A|MXD|
72|1894|7624|7470|AZX637|DOCK SUD|BA|AZX638|582023|343824|28|2||||27.5|-81|0||P 2.4M HP|V|123.6|0|60|5|4|A|MXD|
72|1895|7470|7624|AZX638|ENSENADA|BA|AZX637|575408|345241|28|2||||27.5|-81|0||P 2.4M HP|V|303.6|0|10|72|6|A|MXD|
72|1896|7442|7596|AZK453|LELEQUE|CB|AZK516|711336|421744|28|2|C-0573|||27|-95.5|814||P 1.8M|H|3.6|0|700|18|4.3|A|MXD|
72|1897|7596|7442|AZK516|EL MAITEN|CB|AZK453|711212|420115|28|2|C-0573|||27|-95.5|814||P 1.8M|H|183.6|0|855|18|4.3|A|MXD|
72|1898|7554|7708|AZK963|SAN CAYETANO|BA|AZL91|593637|382047|25.5|2||||27|-100.5|811||P 2.4M|H|222|0|100|76|7.8|A|MXD|
72|1900|7498|7652|AZK963|SAN CAYETANO|BA|AZL91|593637|382047|25.5|2||||27|-100.5|811||P 2.4M|H|222|0|100|76|7.8|A|MXD|
72|1899|7708|7554|AZL91|SAN FRANCISCO DE BEL|BA|AZK963|600029|384138|25.5|2||||27|-100.5|811||P 2.4M|H|42|0|37|71|6.9|A|MXD|
72|1901|7652|7498|AZL91|SAN FRANCISCO DE BEL|BA|AZK963|600029|384138|25.5|2||||27|-100.5|811||P 2.4M|H|42|0|37|71|6.9|A|MXD|
72|1906|7442|7596|AZK538|PILAR|BA|AZN263|585434|342737|28|2||||29|-96|809||P 1.2M|H|334.8|0|22|43|6.7|A|MXD|
72|1907|7596|7442|AZN263|LOS CARDALES|BA|AZK538|585905|341943|28|2||||29|-96|809||P 1.2M|H|154.8|24|36|5|5|A|MXD|
72|1920|7526|7680|AZK574|SALADAS|CR|AZM368|583730|281509|28|2||||26.5|-77.5|804||P 3M|H|331.4|0|70|67|4.2|A|MXD|
72|1922|7498|7652|AZK574|SALADAS|CR|AZM368|583730|281509|28|2||||26.5|-77.5|804||P 3M|V|331.4|0|70|67|4.2|A|MXD|
72|1924|7554|7708|AZK574|SALADAS|CR|AZM368|583730|281509|28|2||||26.5|-77.5|804||P 3M|V|331.4|0|70|67|4.2|A|MXD|
72|1921|7680|7526|AZM368|EMPEDRADO|CR|AZK574|584834|275716|28|2||||26.5|-77.5|804||P 3M|H|151.4|0|66|30|2.2|A|MXD|
72|1923|7652|7498|AZM368|EMPEDRADO|CR|AZK574|584834|275716|28|2||||26.5|-77.5|804||P 3M|V|151.4|0|66|30|2.2|A|MXD|
